Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uf,C_0805_2012Metric,170.815,-87.884,90.0,top
C2,0.1uf,C_0805_2012Metric,154.178,-68.326,180.0,top
J1,Screw_Terminal_01x02,PinHeader_1x02_P2.54mm_Vertical,134.366,-81.28,180.0,top
J2,Screw_Terminal_01x03,PinHeader_1x03_P2.54mm_Vertical,150.876,-96.52,-90.0,top
J3,Conn_01x10_Male,SMD_Pad_1x10,148.59,-60.96,180.0,top
J4,Conn_01x04_Male,SMD_Pad_1x4,169.545,-65.405,90.0,top
R1,10k,R_0805_2012Metric,159.385,-87.63,-90.0,top
R2,10k,R_0805_2012Metric,153.67,-80.01,180.0,top
U1,CD74HC4067M,SOIC-24W_7.5x15.4mm_P1.27mm,146.05,-75.565,270.0,top
U2,CD74HC4067M,SOIC-24W_7.5x15.4mm_P1.27mm,163.83,-80.01,180.0,top
U3,74HC595,SOIC-16_3.9x9.9mm_P1.27mm,146.685,-90.17,180.0,top
